Name,CAS,SMILES,IUPAC_Name
Phosphane,7803-51-2,Not found,phosphane
Tetrasul,2227-13-6,ClC1=C(C=C(C(=C1)SC1=CC=C(C=C1)Cl)Cl)Cl,"1,2,4-trichloro-5-(4-chlorophenyl)sulfanylbenzene"
Ethylene dichloride,107-06-2,ClCCCl,"1,2-dichloroethane"
Fenpyroximate,134098-61-6,CN1N=C(C(=C1OC1=CC=CC=C1)\C=N\OCC1=CC=C(C(=O)OC(C)(C)C)C=C1)C,"tert-butyl 4-[[(E)-(1,3-dimethyl-5-phenoxypyrazol-4-yl)methylideneamino]oxymethyl]benzoate"
Dithicrofos,41219-31-2,ClC=1C=C2C(CCSC2=CC1)SP(=S)(OCC)OCC,"(6-chloro-3,4-dihydro-2H-thiochromen-4-yl)sulfanyl-diethoxy-sulfanylidene-lambda5-phosphane"
Fenazaflor,14255-88-0,ClC1=CC2=C(N(C(=N2)C(F)(F)F)C(=O)OC2=CC=CC=C2)C=C1Cl,"phenyl 5,6-dichloro-2-(trifluoromethyl)benzimidazole-1-carboxylate"
Prothiofos,34643-46-4,ClC1=C(OP(=S)(SCCC)OCC)C=CC(=C1)Cl,"(2,4-dichlorophenoxy)-ethoxy-propylsulfanyl-sulfanylidene-lambda5-phosphane"
Metam,144-54-7,CNC(=S)S,methylcarbamodithioic acid
Cadusafos,95465-99-9,CC(CC)SP(=O)(OCC)SC(C)CC,2-[butan-2-ylsulfanyl(ethoxy)phosphoryl]sulfanylbutane
Pymetrozine,123312-89-0,CC=1CN(C(NN1)=O)/N=C/C=1C=NC=CC1,"6-methyl-4-[(E)-pyridin-3-ylmethylideneamino]-2,5-dihydro-1,2,4-triazin-3-one"
Temephos,3383-96-8,COP(=S)(OC1=CC=C(C=C1)SC1=CC=C(OP(=S)(OC)OC)C=C1)OC,[4-(4-dimethoxyphosphinothioyloxyphenyl)sulfanylphenoxy]-dimethoxy-sulfanylidene-lambda5-phosphane
Allethrin,584-79-2,CC1(C(C1C=C(C)C)C(=O)OC1C(=C(C(C1)=O)CC=C)C)C,"(2-methyl-4-oxo-3-prop-2-enylcyclopent-2-en-1-yl) 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate"
Ethion,563-12-2,C(C)OP(=S)(OCC)SCSP(=S)(OCC)OCC,diethoxyphosphinothioylsulfanylmethylsulfanyl-diethoxy-sulfanylidene-lambda5-phosphane
Methidathion,950-37-8,COP(=S)(OC)SCN1C(SC(=N1)OC)=O,"3-(dimethoxyphosphinothioylsulfanylmethyl)-5-methoxy-1,3,4-thiadiazol-2-one"
Menazon,78-57-9,COP(=S)(OC)SCC1=NC(=NC(=N1)N)N,"6-(dimethoxyphosphinothioylsulfanylmethyl)-1,3,5-triazine-2,4-diamine"
Clofentezine,74115-24-5,ClC1=C(C=CC=C1)C=1N=NC(=NN1)C1=C(C=CC=C1)Cl,"3,6-bis(2-chlorophenyl)-1,2,4,5-tetrazine"
D-fructose,57-48-7,OCC1(OC[C@H]([C@H]([C@@H]1O)O)O)O,"(3S,4R,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol"
Allyxycarb,6392-46-7,CNC(OC1=CC(=C(C(=C1)C)N(CC=C)CC=C)C)=O,"[4-[bis(prop-2-enyl)amino]-3,5-dimethylphenyl] N-methylcarbamate"
Ethohexadiol,94-96-2,C(C)C(CO)C(CCC)O,"2-ethylhexane-1,3-diol"
Bromophos,2104-96-3,BrC1=CC(=C(OP(=S)(OC)OC)C=C1Cl)Cl,"(4-bromo-2,5-dichlorophenoxy)-dimethoxy-sulfanylidene-lambda5-phosphane"
Lithium perfluorooctane sulfonate,29457-72-5,FC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F.[Li+],"lithium 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonate"
Pyflubumide,926914-55-8,FC(C(C(F)(F)F)(OC)C1=C(C=C(C=C1)N(C(=O)C=1C(=NN(C1C)C)C)C(C(C)C)=O)CC(C)C)(F)F,"N-[4-(1,1,1,3,3,3-hexafluoro-2-methoxypropan-2-yl)-3-(2-methylpropyl)phenyl]-1,3,5-trimethyl-N-(2-methylpropanoyl)pyrazole-4-carboxamide"
Ethiofencarb,29973-13-5,CNC(OC1=C(C=CC=C1)CSCC)=O,[2-(ethylsulfanylmethyl)phenyl] N-methylcarbamate
Mirex,2385-85-5,ClC12C3(C4(C5(C(C3(C2(C5(C4(C1(Cl)Cl)Cl)Cl)Cl)Cl)(Cl)Cl)Cl)Cl)Cl,"1,2,3,4,5,5,6,7,8,9,10,10-dodecachloropentacyclo[5.3.0.02,6.03,9.04,8]decane"
Chlorobenzilate,510-15-6,ClC1=CC=C(C=C1)C(C(=O)OCC)(O)C1=CC=C(C=C1)Cl,"ethyl 2,2-bis(4-chlorophenyl)-2-hydroxyacetate"
Farnesol,4602-84-0,C\C(=C/CO)\CC\C=C(\CCC=C(C)C)/C,"(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trien-1-ol"
Mecarphon,29173-31-7,COP(=S)(C)SCC(=O)N(C(OC)=O)C,methyl N-[2-[methoxy(methyl)phosphinothioyl]sulfanylacetyl]-N-methylcarbamate
Cinnamyl acetate,103-54-8,C(C)(=O)OC\C=C\C1=CC=CC=C1,[(E)-3-phenylprop-2-enyl] acetate
Cymiazol,61676-87-7,CC1=C(C=CC(=C1)C)N=C1SC=CN1C,"N-(2,4-dimethylphenyl)-3-methyl-1,3-thiazol-2-imine"
Flupyradifurone,951659-40-8,ClC1=CC=C(C=N1)CN(C=1COC(C1)=O)CC(F)F,"3-[(6-chloro-3-pyridinyl)methyl-(2,2-difluoroethyl)amino]-2H-furan-5-one"
Azothoate,5834-96-8,ClC1=CC=C(C=C1)N=NC1=CC=C(C=C1)OP(=S)(OC)OC,(4-chlorophenyl)-(4-dimethoxyphosphinothioyloxyphenyl)diazene
Medlure,13929-18-5,Not found,butan-2-yl 4-chloro-2-methylcyclohexane-1-carboxylate;butan-2-yl 5-chloro-2-methylcyclohexane-1-carboxylate
Thioquinox,93-75-4,S1C(SC=2C1=NC1=CC=CC=C1N2)=S,"[1,3]dithiolo[4,5-b]quinoxaline-2-thione"
Thiofanox,39196-18-4,CNC(ON=C(CSC)C(C)(C)C)=O,"[(3,3-dimethyl-1-methylsulfanylbutan-2-ylidene)amino] N-methylcarbamate"
Myristyl acetate,638-59-5,C(C)(=O)OCCCCCCCCCCCCCC,tetradecyl acetate
Thallium sulphate,7446-18-6,[Tl++].[O-][S]([O-])(=O)=O,bis(thallium(1+));sulfate
Oxazosulfyl,1616678-32-0,C(C)S(=O)(=O)C=1C(=NC=CC1)C=1OC2=C(N1)C=C(C=C2)S(=O)(=O)C(F)(F)F,"2-(3-ethylsulfonyl-2-pyridinyl)-5-(trifluoromethylsulfonyl)-1,3-benzoxazole"
