Name,CAS,SMILES,IUPAC_Name,ChEMBL_ID,MolFormula,MW
LEVOFLOXACIN ANHYDROUS,,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,,CHEMBL33,C18H20FN3O4,361.37
GEMIFLOXACIN,,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,,CHEMBL430,C18H20FN5O4,389.39
SPIRAPRIL,,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,,CHEMBL431,C22H30N2O5S2,466.63
VALPROATE SODIUM,,CCCC(CCC)C(=O)[O-].[Na+],,CHEMBL433,C8H15NaO2,166.20
ISOPROTERENOL,,CC(C)NCC(O)c1ccc(O)c(O)c1,,CHEMBL434,C11H17NO3,211.26
HYDROCHLOROTHIAZIDE,,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,,CHEMBL435,C7H8ClN3O4S2,297.75
FUROSEMIDE,,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,,CHEMBL35,C12H11ClN2O5S,330.75
PYRIMETHAMINE,,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,,CHEMBL36,C12H13ClN4,248.72
TOLRESTAT,,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,,CHEMBL436,C16H14F3NO3S,357.35
SULFATHIAZOLE,,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,,CHEMBL437,C9H9N3O2S2,255.32
SULFAMERAZINE,,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,,CHEMBL438,C11H12N4O2S,264.31
SULFADIAZINE,,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,,CHEMBL439,C10H10N4O2S,250.28
THIAMYLAL,,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,,CHEMBL440,C12H18N2O2S,254.35
THIOPENTAL,,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,,CHEMBL441,C11H18N2O2S,242.34
CYCLOBARBITAL,,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,,CHEMBL268164,C12H16N2O3,236.27
ERGOTAMINE,,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,,CHEMBL442,C33H35N5O5,581.67
TRETINOIN,,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,,CHEMBL38,C20H28O2,300.44
METHOHEXITAL,,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,,CHEMBL7413,C14H18N2O3,262.31
PHENOBARBITAL,,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,,CHEMBL40,C12H12N2O3,232.24
FLUOXETINE,,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,,CHEMBL41,C17H18F3NO,309.33
SULFAMETHOXAZOLE,,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,,CHEMBL443,C10H11N3O3S,253.28
BARBITAL,,CCC1(CC)C(=O)NC(=O)NC1=O,,CHEMBL444,C8H12N2O3,184.19
CLOZAPINE,,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,,CHEMBL42,C18H19ClN4,326.83
NORTRIPTYLINE,,CNCCC=C1c2ccccc2CCc2ccccc21,,CHEMBL445,C19H21N,263.38
SULFAMETHAZINE,,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,,CHEMBL446,C12H14N4O2S,278.34
SECOBARBITAL,,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,,CHEMBL447,C12H18N2O3,238.29
PENTOBARBITAL,,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,,CHEMBL448,C11H18N2O3,226.28
QUINACRINE,,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,,CHEMBL7568,C23H30ClN3O,399.97
AMOBARBITAL,,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,,CHEMBL267894,C11H18N2O3,226.28
HEXOBARBITAL,,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,,CHEMBL7728,C12H16N2O3,236.27
BUTABARBITAL,,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,,CHEMBL449,C10H16N2O3,212.25
APROBARBITAL,,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,,CHEMBL7863,C10H14N2O3,210.23
METHARBITAL,,CCC1(CC)C(=O)NC(=O)N(C)C1=O,,CHEMBL450,C9H14N2O3,198.22
CHLORDIAZEPOXIDE,,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,,CHEMBL451,C16H14ClN3O,299.76
MELAGATRAN,,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,,CHEMBL266349,C22H31N5O4,429.52
CLONAZEPAM,,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,,CHEMBL452,C15H10ClN3O3,315.72
