Name,CAS,SMILES,IUPAC_Name
Copper acetoarsenite,12002-03-8,[Cu++].[Cu++].[Cu++].[Cu++].CC([O-])=O.CC([O-])=O.[O-][As]=O.[O-][As]=O.[O-][As]=O.[O-][As]=O.[O-][As]=O.[O-][As]=O,tetracopper;oxoarsinite;diacetate
Bithionol,97-18-7,ClC1=C(C(=CC(=C1)Cl)SC1=C(C(=CC(=C1)Cl)Cl)O)O,"2,4-dichloro-6-(3,5-dichloro-2-hydroxyphenyl)sulfanylphenol"
Ammonium carbonate,506-87-6,[NH4+].[NH4+].[O-]C([O-])=O,diazanium;carbonate
1-decanol,112-30-1,C(CCCCCCCCC)O,decan-1-ol
Furmecyclox,60568-05-0,C1(CCCCC1)N(C(=O)C1=C(OC(=C1)C)C)OC,"N-cyclohexyl-N-methoxy-2,5-dimethylfuran-3-carboxamide"
Alpha-cypermethrin,67375-30-8,CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,"trans-[(S)-cyano-(3-phenoxyphenyl)methyl] (1R,3R)-3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate"
Cupric ammonium carbonate,53231-49-5,Not found,copper;azane;carbonate
Imazalil,35554-44-0,ClC1=C(C=CC(=C1)Cl)C(CN1C=NC=C1)OCC=C,"1-[2-(2,4-dichlorophenyl)-2-prop-2-enoxyethyl]imidazole"
Permethrin,52645-53-1,ClC(=CC1C(C1C(=O)OCC1=CC(=CC=C1)OC1=CC=CC=C1)(C)C)Cl,"(3-phenoxyphenyl)methyl 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate"
Fenoxycarb,72490-01-8,O(C1=CC=CC=C1)C1=CC=C(OCCNC(OCC)=O)C=C1,ethyl N-[2-(4-phenoxyphenoxy)ethyl]carbamate
Azithiram,5834-94-6,CN(NC(=S)SSC(NN(C)C)=S)C,dimethylaminocarbamothioylsulfanyl N-(dimethylamino)carbamodithioate
Penflufen,494793-67-8,FC1=C(C(=NN1C)C)C(=O)NC1=C(C=CC=C1)C(C)CC(C)C,"5-fluoro-1,3-dimethyl-N-[2-(4-methylpentan-2-yl)phenyl]pyrazole-4-carboxamide"
Sulfuryl fluoride,2699-79-8,S(=O)(=O)(F)F,sulfuryl difluoride
Kasugamycin,6980-18-3,NC(C(=O)O)=N[C@@H]1[C@H](O[C@@H]([C@H](C1)N)OC1[C@@H]([C@H](C([C@@H]([C@@H]1O)O)O)O)O)C,"2-amino-2-[(2R,3S,5S,6R)-5-amino-2-methyl-6-[(2R,3S,5S,6S)-2,3,4,5,6-pentahydroxycyclohexyl]oxyoxan-3-yl]iminoacetic acid"
Bentaluron,28956-64-1,S1C(=NC2=C1C=CC=C2)NC(=O)NC(C)C,"1-(1,3-benzothiazol-2-yl)-3-propan-2-ylurea"
Gliotoxin,67-99-2,O[C@H]1C=CC=C2C[C@@]34N([C@H]12)C([C@@](SS3)(N(C4=O)C)CO)=O,"(1R,7S,8S,11R)-7-hydroxy-11-(hydroxymethyl)-15-methyl-12,13-dithia-9,15-diazatetracyclo[9.2.2.01,9.03,8]pentadeca-3,5-diene-10,14-dione"
P-chlorocresol,59-50-7,ClC1=C(C=C(C=C1)O)C,4-chloro-3-methylphenol
Mercuric chloride,7487-94-7,Cl[Hg]Cl,dichloromercury
Ferimzone,89269-64-7,CC1=NC(=NC(=C1)C)N\N=C(\C)/C1=C(C=CC=C1)C,"4,6-dimethyl-N-[(Z)-1-(2-methylphenyl)ethylideneamino]pyrimidin-2-amine"
